,Entity,Code,Year,Solar (% equivalent primary energy)
0,Africa,,1971,0.0
1,Africa,,1972,0.0
2,Africa,,1973,0.0
3,Africa,,1974,0.0
4,Africa,,1975,0.0
5,Africa,,1976,0.0
6,Africa,,1977,0.0
7,Africa,,1978,0.0
8,Africa,,1979,0.0
9,Africa,,1980,0.0
10,Africa,,1981,0.0
11,Africa,,1982,0.0
12,Africa,,1983,0.0
13,Africa,,1984,0.0
14,Africa,,1985,0.0
15,Africa,,1986,0.0
16,Africa,,1987,0.0
17,Africa,,1988,0.0
18,Africa,,1989,0.0
19,Africa,,1990,0.0
20,Africa,,1991,0.0
21,Africa,,1992,0.0
22,Africa,,1993,0.0
23,Africa,,1994,0.0
24,Africa,,1995,0.0
25,Africa,,1996,0.0
26,Africa,,1997,0.0
27,Africa,,1998,0.0
28,Africa,,1999,0.0
29,Africa,,2000,0.0011007969
30,Africa,,2001,0.001324146
31,Africa,,2002,0.0014531702
32,Africa,,2003,0.0016437006
33,Africa,,2004,0.0018682962
34,Africa,,2005,0.002214702
35,Africa,,2006,0.0027837367
36,Africa,,2007,0.0035508324
37,Africa,,2008,0.004789645
38,Africa,,2009,0.006178744
39,Africa,,2010,0.013429861
40,Africa,,2011,0.03689415
41,Africa,,2012,0.05823969
42,Africa,,2013,0.044672735
43,Africa,,2014,0.10449535
44,Africa,,2015,0.1736639
45,Africa,,2016,0.2779333
46,Africa,,2017,0.3892137
47,Africa,,2018,0.48900396
48,Africa,,2019,0.6120093
49,Africa,,2020,0.8039458
50,Africa,,2021,0.77807826
51,Africa,,1971,0.0
52,Africa,,1972,0.0
53,Africa,,1973,0.0
54,Africa,,1974,0.0
55,Africa,,1975,0.0
56,Africa,,1976,0.0
57,Africa,,1977,0.0
58,Africa,,1978,0.0
59,Africa,,1979,0.0
60,Africa,,1980,0.0
61,Africa,,1981,0.0
62,Africa,,1982,0.0
63,Africa,,1983,0.0
64,Africa,,1984,0.0
65,Africa,,1985,0.0
66,Africa,,1986,0.0
67,Africa,,1987,0.0
68,Africa,,1988,0.0
69,Africa,,1989,0.0
70,Africa,,1990,0.0
71,Africa,,1991,0.0
72,Africa,,1992,0.0
73,Africa,,1993,0.0
74,Africa,,1994,0.0
75,Africa,,1995,0.0
76,Africa,,1996,0.0
77,Africa,,1997,0.0
78,Africa,,1998,0.0
79,Africa,,1999,0.0
80,Africa,,2000,0.0011006584
81,Africa,,2001,0.0013239534
82,Africa,,2002,0.0014529313
83,Africa,,2003,0.0016441405
84,Africa,,2004,0.0018683693
85,Africa,,2005,0.002214768
86,Africa,,2006,0.0027840806
87,Africa,,2007,0.003550922
88,Africa,,2008,0.004789489
89,Africa,,2009,0.006178827
90,Africa,,2010,0.013430021
91,Africa,,2011,0.03689417
92,Africa,,2012,0.0582397
93,Africa,,2013,0.04467274
94,Africa,,2014,0.10449534
95,Africa,,2015,0.17366369
96,Africa,,2016,0.27793333
97,Africa,,2017,0.3892137
98,Africa,,2018,0.4890039
99,Africa,,2019,0.6120092
100,Africa,,2020,0.8039458
101,Africa,,2021,0.77807826
102,Algeria,DZA,1965,0.0
103,Algeria,DZA,1966,0.0
104,Algeria,DZA,1967,0.0
105,Algeria,DZA,1968,0.0
106,Algeria,DZA,1969,0.0
107,Algeria,DZA,1970,0.0
108,Algeria,DZA,1971,0.0
109,Algeria,DZA,1972,0.0
110,Algeria,DZA,1973,0.0
111,Algeria,DZA,1974,0.0
112,Algeria,DZA,1975,0.0
113,Algeria,DZA,1976,0.0
114,Algeria,DZA,1977,0.0
115,Algeria,DZA,1978,0.0
116,Algeria,DZA,1979,0.0
117,Algeria,DZA,1980,0.0
118,Algeria,DZA,1981,0.0
119,Algeria,DZA,1982,0.0
120,Algeria,DZA,1983,0.0
121,Algeria,DZA,1984,0.0
122,Algeria,DZA,1985,0.0
123,Algeria,DZA,1986,0.0
124,Algeria,DZA,1987,0.0
125,Algeria,DZA,1988,0.0
126,Algeria,DZA,1989,0.0
127,Algeria,DZA,1990,0.0
128,Algeria,DZA,1991,0.0
129,Algeria,DZA,1992,0.0
130,Algeria,DZA,1993,0.0
131,Algeria,DZA,1994,0.0
132,Algeria,DZA,1995,0.0
133,Algeria,DZA,1996,0.0
134,Algeria,DZA,1997,0.0
135,Algeria,DZA,1998,0.0
136,Algeria,DZA,1999,0.0
137,Algeria,DZA,2000,0.0
138,Algeria,DZA,2001,0.0
139,Algeria,DZA,2002,0.0
140,Algeria,DZA,2003,0.0
141,Algeria,DZA,2004,0.0
142,Algeria,DZA,2005,0.0
143,Algeria,DZA,2006,0.0
144,Algeria,DZA,2007,0.0
145,Algeria,DZA,2008,0.0
146,Algeria,DZA,2009,0.0
147,Algeria,DZA,2010,0.0057517756
148,Algeria,DZA,2011,0.010760946
149,Algeria,DZA,2012,0.014433099
150,Algeria,DZA,2013,0.014515886
151,Algeria,DZA,2014,0.027756516
152,Algeria,DZA,2015,0.025293589
153,Algeria,DZA,2016,0.106301226
154,Algeria,DZA,2017,0.21502112
155,Algeria,DZA,2018,0.23763257
156,Algeria,DZA,2019,0.23329379
157,Algeria,DZA,2020,0.27490386
158,Algeria,DZA,2021,0.2537999
159,Argentina,ARG,1965,0.0
160,Argentina,ARG,1966,0.0
161,Argentina,ARG,1967,0.0
162,Argentina,ARG,1968,0.0
163,Argentina,ARG,1969,0.0
164,Argentina,ARG,1970,0.0
165,Argentina,ARG,1971,0.0
166,Argentina,ARG,1972,0.0
167,Argentina,ARG,1973,0.0
168,Argentina,ARG,1974,0.0
169,Argentina,ARG,1975,0.0
170,Argentina,ARG,1976,0.0
171,Argentina,ARG,1977,0.0
172,Argentina,ARG,1978,0.0
173,Argentina,ARG,1979,0.0
174,Argentina,ARG,1980,0.0
175,Argentina,ARG,1981,0.0
176,Argentina,ARG,1982,0.0
177,Argentina,ARG,1983,0.0
178,Argentina,ARG,1984,0.0
179,Argentina,ARG,1985,0.0
180,Argentina,ARG,1986,0.0
