country code,country_long,name of powerplant,capacity in MW,latitude,longitude,primary_fuel,secondary fuel,other_fuel2,other_fuel3,start date,owner of plant,generation_gwh_2021,geolocation_source,estimated_generation_gwh_2021
ALB,Albania,Bistrica 1,27.0,39.9116,20.1047,Hydro,,,,1965.0,,,GEODB,105.17
ALB,Albania,Fierza,500.0,42.2514,20.0431,Hydro,,,,1978.0,,,GEODB,1976.01
ALB,Albania,Koman,600.0,42.1033,19.8224,Hydro,,,,1985.0,,,GEODB,2072.13
ALB,Albania,Lanabregas,5.0,41.3428,19.8964,Hydro,,,,1951.0,,,GEODB,20.37
ALB,Albania,Shkopet,24.0,41.6796,19.8305,Hydro,,,,1963.0,,,GEODB,93.52
ALB,Albania,Ulez,25.0,41.6796,19.8936,Hydro,,,,1958.0,,,GEODB,97.42
ALB,Albania,Vau i Dijes,250.0,42.0137,19.6359,Hydro,,,,1971.0,,,GEODB,895.02
ARM,Armenia,Sevan-Hrazdan Cascade,561.0,40.5078,44.7606,Hydro,,,,,RusHydro,,GEODB,847.52
ARM,Armenia,Shamb,170.0,39.4743,46.1306,Hydro,,,,1978.0,Ministry of Energy an Natural Resources,,GEODB,254.59
ARM,Armenia,Spandaryan,76.0,39.6494,45.85,Hydro,,,,1989.0,Ministry of Energy an Natural Resources,,GEODB,91.89
ARM,Armenia,Tatev,158.0,39.3956,46.2578,Hydro,,,,1970.0,Ministry of Energy an Natural Resources,,WRI,218.42
AUT,Austria,Abwinden-Asten,168.0,48.248,14.4305,Hydro,,,,1980.0,Verbund,,GEODB,873.43
AUT,Austria,Altenmarkt,26.0,46.7667,15.55,Hydro,,,,1960.0,Verbund,,CARMA,89.14
AUT,Austria,Arnstein,30.0,47.0167,15.1667,Hydro,,,,1925.0,Verbund,,CARMA,88.43
AUT,Austria,Aschach,287.0,48.3853,14.023,Hydro,,,,1964.0,Verbund,,GEODB,1439.75
AUT,Austria,Bischofshofen,16.0,47.407,13.2205,Hydro,,,,1986.0,Verbund,,GEODB,69.07
AUT,Austria,Braunau-Simbach,100.0,48.244,13.006,Hydro,,,,1954.0,Verbund,,WRI,425.09
AUT,Austria,Dionysen,16.0,47.4167,15.2833,Hydro,,,,1949.0,Verbund,,CARMA,58.34
AUT,Austria,Ering-Frauenstein,72.0,48.2194,13.16,Hydro,,,,1943.0,Verbund,,WRI,190.81
AUT,Austria,Erzbach,1.0,47.6,14.7333,Hydro,,,,1986.0,Verbund,,CARMA,3.91
AUT,Austria,Feistritz-Ludmannsdorf,88.0,46.5347,14.1712,Hydro,,,,1968.0,Verbund,,GEODB,325.39
AUT,Austria,Feldkirchen,38.0,46.8638,13.3355,Hydro,,,,1970.0,Wien Energie,,WRI,131.27
AUT,Austria,Ferlach Maria Rain,75.0,46.5462,14.2985,Hydro,,,,1975.0,Verbund,,GEODB,277.32
AUT,Austria,Fisching,22.0,47.1667,14.7333,Hydro,,,,1994.0,Verbund,,CARMA,84.14
AUT,Austria,Freudenau Danube,172.0,48.1764,16.4811,Hydro,,,,1998.0,Wien Energie,,WRI,891.52
AUT,Austria,Friesach,12.0,47.1667,15.3333,Hydro,,,,1998.0,Verbund,,CARMA,58.43
AUT,Austria,Funsingau,25.0,47.2354,12.0583,Hydro,,,,1968.0,Verbund,,GEODB,73.69
AUT,Austria,Gabersdorf,14.0,46.7772,15.5842,Hydro,,,,1974.0,Verbund,,CARMA,69.32
AUT,Austria,Gaming,14.0,48.1766,16.4813,Hydro,,,,1926.0,Wien Energie,,WRI,66.79
AUT,Austria,Gerlos,200.0,47.2342,11.8997,Hydro,,,,1949.0,Verbund,,GEODB,592.22
AUT,Austria,Gratkorn,11.0,47.1333,15.35,Hydro,,,,,Verbund,,CARMA,53.68
AUT,Austria,Greifenstein,293.0,48.3553,16.2424,Hydro,,,,1985.0,Verbund,,GEODB,1465.01
AUT,Austria,Hieflau,63.0,47.6,14.7333,Hydro,,,,,Verbund,,CARMA,226.43
AUT,Austria,Hieflau-Erzbach,1.0,47.6,14.7333,Hydro,,,,1956.0,Verbund,,CARMA,3.91
AUT,Austria,Jochenstein,132.0,48.5184,13.7076,Hydro,,,,1956.0,Verbund,,GEODB,691.12
AUT,Austria,KW Amlach,60.0,46.8142,12.7618,Hydro,,,,1989.0,TIWAG-Tiroler Wasserkraft AG,,Open Power System Data,195.22
AUT,Austria,KW Imst,89.0,47.2122,10.7215,Hydro,,,,1956.0,TIWAG-Tiroler Wasserkraft AG,,Open Power System Data,322.67
AUT,Austria,KW Jenbach,79.0,47.3932,11.7886,Hydro,,,,1926.0,TIWAG-Tiroler Wasserkraft AG,,Open Power System Data,301.8
AUT,Austria,KW Kaunertal,392.0,47.0678,10.6652,Hydro,,,,1964.0,TIWAG-Tiroler Wasserkraft AG,,Open Power System Data,1078.76
AUT,Austria,KW Kühtai,289.0,47.2078,11.0057,Hydro,,,,1981.0,TIWAG-Tiroler Wasserkraft AG,,Open Power System Data,689.49
AUT,Austria,KW Silz,500.0,47.2696,10.9678,Hydro,,,,1981.0,TIWAG-Tiroler Wasserkraft AG,,Open Power System Data,1476.7
AUT,Austria,Kaprun Limberg II,480.0,47.1985,12.7223,Hydro,,,,2011.0,Verbund,,GEODB,1201.64
AUT,Austria,Kaprun Oberstufe,113.0,47.1968,12.7192,Hydro,,,,1956.0,Verbund,,GEODB,394.18
AUT,Austria,Kaprun main stage,240.0,47.2591,12.7389,Hydro,,,,1953.0,Verbund,,GEODB,615.87
AUT,Austria,Kellerberg,25.0,46.67,13.6886,Hydro,,,,1985.0,Verbund,,CARMA,105.84
AUT,Austria,Klammsee,1.0,47.2591,12.7389,Hydro,,,,1947.0,Verbund,,GEODB,3.57
AUT,Austria,Klaus,20.0,47.8314,14.1572,Hydro,,,,1975.0,Verbund,,CARMA,58.5
AUT,Austria,Kopswerk II,525.0,46.975,10.043,Hydro,,,,2008.0,Vorarlberge Illwerke AG,,WRI,1280.52
AUT,Austria,Kreuzbergmaut,18.0,47.4412,13.2108,Hydro,,,,1996.0,Verbund,,GEODB,77.7
AUT,Austria,Kreuzeck days storage,45.0,46.8727,13.3117,Hydro,,,,1960.0,Verbund,,GEODB,155.78
AUT,Austria,Krippau,30.0,47.6833,14.7,Hydro,,,,1965.0,Verbund,,CARMA,114.08
AUT,Austria,Landl,25.0,47.65,14.7167,Hydro,,,,1967.0,Verbund,,CARMA,105.58
AUT,Austria,Laufnitzdorf,18.0,47.3,15.3167,Hydro,,,,1931.0,Verbund,,CARMA,88.93
AUT,Austria,Lebring,20.0,46.8522,15.5383,Hydro,,,,1988.0,Verbund,,CARMA,92.61
AUT,Austria,Leoben,10.0,47.3833,15.1,Hydro,,,,2005.0,Verbund,,CARMA,46.23
AUT,Austria,Losenstein,39.0,47.9243,14.4367,Hydro,,,,1962.0,Verbund,,CARMA,149.11
AUT,Austria,Low Tuxbach - Small power plant Stillupp,2.0,47.1485,11.8225,Hydro,,,,,Verbund,,GEODB,5.42
AUT,Austria,Lünerseewerk,280.0,47.074,9.874,Hydro,,,,1958.0,Vorarlberge Illwerke AG,,WRI,707.53
AUT,Austria,Malta Secondary school,120.0,47.0659,13.3539,Hydro,,,,1979.0,Verbund,,GEODB,305.21
AUT,Austria,Malta main stage,730.0,47.0659,13.3539,Hydro,,,,1979.0,Verbund,,GEODB,1999.1
AUT,Austria,Mandling,6.0,47.4,13.5667,Hydro,,,,1985.0,Verbund,,CARMA,21.31
AUT,Austria,Mayrhofen,355.0,47.1581,11.8501,Hydro,,,,1977.0,Verbund,,GEODB,726.35
AUT,Austria,Melk,187.0,48.2232,15.3042,Hydro,,,,1982.0,Verbund,,GEODB,971.74
AUT,Austria,Mellach run power plant,16.0,46.8833,15.5167,Hydro,,,,1985.0,Verbund,,CARMA,79.22
AUT,Austria,Neuötting,26.1,40.1247,-8.7751,Hydro,,,,1951.0,Wien Energie,,GEODB,92.81
AUT,Austria,Niklai,2.0,46.8167,13.3167,Hydro,,,,1960.0,Verbund,,CARMA,7.67
AUT,Austria,Nussdorf near Vienna,5.0,47.2167,14.4833,Hydro,,,,2005.0,Verbund,,CARMA,19.92
AUT,Austria,Oberaudorf Ebbs,60.0,47.6413,12.1989,Hydro,,,,1992.0,Verbund,,WRI,219.59
AUT,Austria,Obervermuntwerk,30.0,46.9271,10.0539,Hydro,,,,1943.0,Vorarlberge Illwerke AG,,WRI,97.41
AUT,Austria,Obervogau,13.0,46.745,15.5847,Hydro,,,,1978.0,Verbund,,CARMA,62.79
AUT,Austria,Ottensheim-Wilhering,179.0,48.3166,14.1512,Hydro,,,,1975.0,Verbund,,GEODB,937.21
AUT,Austria,Passau-Ingling,86.0,48.5536,13.4371,Hydro,,,,1966.0,Verbund,,WRI,365.58
AUT,Austria,Paternion,24.0,46.7209,13.6453,Hydro,,,,1988.0,Verbund,,GEODB,101.96
AUT,Austria,Peggau,13.0,47.2,15.35,Hydro,,,,1965.0,Verbund,,CARMA,64.23
AUT,Austria,Pernegg,22.0,47.3598,15.3424,Hydro,,,,2013.0,Verbund,,CARMA,100.83
AUT,Austria,Pichlern,2.0,47.65,13.6667,Hydro,,,,2005.0,Verbund,,CARMA,6.85
AUT,Austria,Rabenstein,14.0,47.35,13.6833,Hydro,,,,1987.0,Verbund,,CARMA,35.4
AUT,Austria,Retznei,1.0,46.7333,15.5667,Hydro,,,,1992.0,Verbund,,CARMA,3.99
